dataset,window_tag,hidden_tag,group_mode,method,random_trial,k,n_groups,fraction_kept,n_features_kept,input_dim,train_mae,train_rmse,val_mae,val_rmse,retrain_retention,mae_full_ref,rmse_full_ref,mae_mean_ref,rmse_mean_ref,mean_y_train,ranking_file,train_seed,cache_hit,epochs,last_train_loss,last_val_loss
FD003,W30_step1,h10_10_10,windows,random_permutation,2,24,30,0.8,384,384,27.125879287719727,41.67894744873047,26.367673873901367,40.45761489868164,1.0403878841328744,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,649555089,False,60,1708.2476806640625,1636.8184814453125
FD003,W30_step1,h10_10_10,windows,random_permutation,2,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,random_permutation,3,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,-1,False,,,
FD003,W30_step1,h10_10_10,windows,random_permutation,3,6,30,0.2,96,96,33.02548599243164,48.70701599121094,30.50780487060547,44.06184768676758,0.945544279095297,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3707029007,False,60,2371.84814453125,1941.446533203125
FD003,W30_step1,h10_10_10,windows,random_permutation,3,12,30,0.4,192,192,30.22921371459961,45.19999694824219,28.50527000427246,42.31956100463867,0.9914190656872344,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3511139969,False,60,2058.71630859375,1790.9453125
FD003,W30_step1,h10_10_10,windows,random_permutation,3,18,30,0.6,288,288,28.9761905670166,42.830528259277344,28.123046875,42.47211837768555,1.0001751701529635,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,1801285731,False,60,1812.9644775390625,1803.880126953125
FD003,W30_step1,h10_10_10,windows,random_permutation,3,24,30,0.8,384,384,26.152246475219727,39.692237854003906,26.128671646118164,41.447898864746094,1.0458630328450809,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3387039099,False,60,1591.71533203125,1717.9285888671875
FD003,W30_step1,h10_10_10,windows,random_permutation,3,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,random_permutation,4,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,-1,False,,,
FD003,W30_step1,h10_10_10,windows,random_permutation,4,6,30,0.2,96,96,33.80513381958008,49.305458068847656,30.476871490478516,44.28836441040039,0.946252912056325,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,1157904132,False,60,2444.32275390625,1961.4588623046875
FD003,W30_step1,h10_10_10,windows,random_permutation,4,12,30,0.4,192,192,30.933853149414062,45.88168716430664,29.110546112060547,44.409881591796875,0.9775531836290493,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3963157308,False,60,2106.668701171875,1972.2376708984375
FD003,W30_step1,h10_10_10,windows,random_permutation,4,18,30,0.6,288,288,28.432170867919922,43.117156982421875,28.925872802734375,43.82329177856445,0.9817837460012683,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,2918869366,False,60,1866.1065673828125,1920.4813232421875
FD003,W30_step1,h10_10_10,windows,random_permutation,4,24,30,0.8,384,384,25.713560104370117,38.88667678833008,28.640605926513672,44.08000946044922,0.9883187418649544,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,2633497366,False,60,1533.971923828125,1943.0474853515625
FD003,W30_step1,h10_10_10,windows,random_permutation,4,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,97884203,True,60,1415.5882568359375,1966.5777587890625
