dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,weights,train,mae,15,13,2,0.13333333333333333,38.76226043701172
FD001,W30_step1,h10,sensors,weights,train,rmse,15,13,2,0.13333333333333333,50.22750244590233
FD001,W30_step1,h10,sensors,weights,train,r2,15,13,2,0.13333333333333333,0.3168368935585022
FD001,W30_step1,h10,sensors,weights,val,mae,15,13,2,0.13333333333333333,42.808536529541016
FD001,W30_step1,h10,sensors,weights,val,rmse,15,13,2,0.13333333333333333,60.294046723640136
FD001,W30_step1,h10,sensors,weights,val,r2,15,13,2,0.13333333333333333,0.2621486783027649
FD001,W30_step1,h10,sensors,weights,train,mae,15,14,1,0.06666666666666667,44.916770935058594
FD001,W30_step1,h10,sensors,weights,train,rmse,15,14,1,0.06666666666666667,56.31550222643517
FD001,W30_step1,h10,sensors,weights,train,r2,15,14,1,0.06666666666666667,0.14118987321853638
FD001,W30_step1,h10,sensors,weights,val,mae,15,14,1,0.06666666666666667,54.77846908569336
FD001,W30_step1,h10,sensors,weights,val,rmse,15,14,1,0.06666666666666667,69.51695780077692
FD001,W30_step1,h10,sensors,weights,val,r2,15,14,1,0.06666666666666667,0.019152402877807617
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,0,15,1.0,21.24919891357422
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,0,15,1.0,31.21976173754724
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,0,15,1.0,0.7360628843307495
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,0,15,1.0,28.65915298461914
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,0,15,1.0,41.77895351766545
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,0,15,1.0,0.6457294225692749
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,1,14,0.9333333333333333,20.31964874267578
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,1,14,0.9333333333333333,29.72531719632063
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,1,14,0.9333333333333333,0.7607266902923584
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,1,14,0.9333333333333333,28.358232498168945
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,1,14,0.9333333333333333,41.523316233360084
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,1,14,0.9333333333333333,0.6500515937805176
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,2,13,0.8666666666666667,20.692726135253906
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,2,13,0.8666666666666667,30.34097305618417
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,2,13,0.8666666666666667,0.7507126331329346
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,2,13,0.8666666666666667,28.82284164428711
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,2,13,0.8666666666666667,42.703462311144925
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,2,13,0.8666666666666667,0.6298769116401672
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,3,12,0.8,22.30133628845215
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,3,12,0.8,31.28137194812643
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,3,12,0.8,0.7350201606750488
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,3,12,0.8,30.94637680053711
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,3,12,0.8,43.60322057745921
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,3,12,0.8,0.6141156554222107
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,4,11,0.7333333333333333,20.31083106994629
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,4,11,0.7333333333333333,30.521038866273255
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,4,11,0.7333333333333333,0.7477449178695679
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,4,11,0.7333333333333333,27.34254264831543
