dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,out_dir,group,survival_steps,survival_fraction,first_n0_present,deepest_n0_present,max_n0_in_run,n_steps_in_run
FD001,W30_step1,10,sensors,low,train,3,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,15,8,0.5714285714285714,14,7,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,1,7,0.5,14,8,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,3,14,1.0,14,1,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,4,3,0.21428571428571427,14,12,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,5,4,0.2857142857142857,14,11,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,6,11,0.7857142857142857,14,4,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,7,10,0.7142857142857143,14,5,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,8,9,0.6428571428571429,14,6,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,9,12,0.8571428571428571,14,3,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,10,8,0.5714285714285714,14,7,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,11,13,0.9285714285714286,14,2,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,12,5,0.35714285714285715,14,10,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,13,2,0.14285714285714285,14,13,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,14,6,0.42857142857142855,14,9,14,14
FD001,W30_step1,10,sensors,low,train,4,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_004_n_100_rulmean_13.360_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,15,1,0.07142857142857142,14,14,14,14
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,1,28,0.9655172413793104,29,2,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,2,10,0.3448275862068966,29,20,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,3,15,0.5172413793103449,29,15,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,4,6,0.20689655172413793,29,24,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,5,2,0.06896551724137931,29,28,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,6,11,0.3793103448275862,29,19,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,7,14,0.4827586206896552,29,16,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,8,1,0.034482758620689655,29,29,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,9,8,0.27586206896551724,29,22,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,10,4,0.13793103448275862,29,26,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,11,5,0.1724137931034483,29,25,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,12,3,0.10344827586206896,29,27,29,29
