dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,run_status,out_dir,iter_file,iter_idx,n0_value,selected_groups_json,selected_count,selected_key
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_008.json,8,7,"[""11"", ""12"", ""15"", ""3"", ""6"", ""7"", ""8""]",7,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_009.json,9,6,"[""11"", ""15"", ""3"", ""6"", ""7"", ""8""]",6,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_010.json,10,5,"[""11"", ""3"", ""6"", ""7"", ""8""]",5,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_011.json,11,4,"[""11"", ""3"", ""6"", ""8""]",4,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_012.json,12,3,"[""11"", ""6"", ""8""]",3,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_013.json,13,2,"[""11"", ""6""]",2,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_014.json,14,1,"[""11""]",1,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_001.json,1,14,"[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",14,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_002.json,2,13,"[""1"", ""10"", ""11"", ""12"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",13,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_003.json,3,12,"[""1"", ""10"", ""11"", ""12"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",12,selected_sensors
