dataset,window_tag,hidden,mode,bin,draw_source,n0_value,n_runs,mean_selected_count,mean_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard
FD001,W30_step1,10 10 10,sensors,low,train,12,5,12.0,0.7973626373626373,0.6,1.0
FD001,W30_step1,10 10 10,sensors,low,train,13,5,13.0,0.7952380952380952,0.7333333333333333,0.8571428571428571
FD001,W30_step1,10 10 10,sensors,low,train,14,5,14.0,0.8933333333333333,0.8666666666666667,1.0
FD001,W30_step1,10 10 10,windows,low,train,1,5,1.0,0.6,0.0,1.0
FD001,W30_step1,10 10 10,windows,low,train,2,5,2.0,0.3,0.0,1.0
FD001,W30_step1,10 10 10,windows,low,train,3,5,3.0,0.38,0.0,1.0
FD001,W30_step1,10 10 10,windows,low,train,4,5,4.0,0.4685714285714285,0.14285714285714285,1.0
FD001,W30_step1,10 10 10,windows,low,train,5,5,5.0,0.49563492063492065,0.1111111111111111,1.0
FD001,W30_step1,10 10 10,windows,low,train,6,5,6.0,0.49428571428571433,0.2,1.0
FD001,W30_step1,10 10 10,windows,low,train,7,5,7.0,0.5106565656565657,0.2727272727272727,0.75
FD001,W30_step1,10 10 10,windows,low,train,8,5,8.0,0.6674747474747474,0.45454545454545453,1.0
FD001,W30_step1,10 10 10,windows,low,train,9,5,9.0,0.6281818181818182,0.5,0.8
FD001,W30_step1,10 10 10,windows,low,train,10,5,10.0,0.5421245421245421,0.42857142857142855,0.6666666666666666
FD001,W30_step1,10 10 10,windows,low,train,11,5,11.0,0.531135531135531,0.4666666666666667,0.6923076923076923
FD001,W30_step1,10 10 10,windows,low,train,12,5,12.0,0.5478151260504203,0.4117647058823529,0.7142857142857143
FD001,W30_step1,10 10 10,windows,low,train,13,5,13.0,0.5785410830999065,0.4444444444444444,0.8571428571428571
FD001,W30_step1,10 10 10,windows,low,train,14,5,14.0,0.6091812865497077,0.47368421052631576,0.8666666666666667
FD001,W30_step1,10 10 10,windows,low,train,15,5,15.0,0.5723370927318296,0.42857142857142855,0.875
FD001,W30_step1,10 10 10,windows,low,train,16,5,16.0,0.583473836105415,0.45454545454545453,0.7777777777777778
FD001,W30_step1,10 10 10,windows,low,train,17,5,17.0,0.6079126670431018,0.4782608695652174,0.7
FD001,W30_step1,10 10 10,windows,low,train,18,5,18.0,0.6419028797289668,0.5,0.8
FD001,W30_step1,10 10 10,windows,low,train,19,5,19.0,0.6718426501035196,0.5833333333333334,0.8095238095238095
FD001,W30_step1,10 10 10,windows,low,train,20,5,20.0,0.7120421607378129,0.6,0.8181818181818182
FD001,W30_step1,10 10 10,windows,low,train,21,5,21.0,0.7677351778656126,0.68,0.9090909090909091
FD001,W30_step1,10 10 10,windows,low,train,22,5,22.0,0.79914381270903,0.6923076923076923,0.9130434782608695
FD001,W30_step1,10 10 10,windows,low,train,23,5,23.0,0.8743703703703704,0.7037037037037037,1.0
FD001,W30_step1,10 10 10,windows,low,train,24,5,24.0,0.8562148962148962,0.7142857142857143,0.92
FD001,W30_step1,10 10 10,windows,low,train,25,5,25.0,0.8609567316463869,0.7241379310344828,0.9230769230769231
FD001,W30_step1,10 10 10,windows,low,train,26,5,26.0,0.8713738368910782,0.7931034482758621,0.9259259259259259
FD001,W30_step1,10 10 10,windows,low,train,27,5,27.0,0.8696059113300493,0.8,0.9285714285714286
FD001,W30_step1,10 10 10,windows,low,train,28,5,28.0,0.8928735632183908,0.8666666666666667,1.0
FD001,W30_step1,10 10 10,windows,low,train,29,5,29.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
FD002,W30_step1,10,sensors,low,train,1,5,1.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,2,5,2.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,3,5,3.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,4,5,4.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,5,5,5.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,6,5,6.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,7,5,7.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,8,5,8.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,9,5,9.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,10,5,10.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,11,5,11.0,1.0,1.0,1.0
