dataset,window_tag,hidden,mode,bin,draw_source,group,n_runs,mean_survival_steps,mean_survival_fraction,mean_deepest_n0_present
FD001,W30_step1,10 10 10,windows,low,train,28,5,24.4,0.8413793103448276,5.6
FD001,W30_step1,10 10 10,windows,low,train,29,5,22.4,0.7724137931034483,7.6
FD001,W30_step1,10 10 10,windows,low,train,3,5,15.0,0.5172413793103449,15.0
FD001,W30_step1,10 10 10,windows,low,train,30,5,27.6,0.9517241379310345,2.4
FD001,W30_step1,10 10 10,windows,low,train,4,5,16.2,0.5586206896551724,13.8
FD001,W30_step1,10 10 10,windows,low,train,5,5,15.4,0.5310344827586208,14.6
FD001,W30_step1,10 10 10,windows,low,train,6,5,6.8,0.23448275862068968,23.2
FD001,W30_step1,10 10 10,windows,low,train,7,5,11.6,0.4,18.4
FD001,W30_step1,10 10 10,windows,low,train,8,5,10.0,0.3448275862068966,20.0
FD001,W30_step1,10 10 10,windows,low,train,9,5,5.2,0.1793103448275862,24.8
FD002,W30_step1,10,sensors,low,train,1,5,19.0,0.95,2.0
FD002,W30_step1,10,sensors,low,train,10,5,11.0,0.55,10.0
FD002,W30_step1,10,sensors,low,train,11,5,10.0,0.5,11.0
FD002,W30_step1,10,sensors,low,train,12,5,9.0,0.45,12.0
FD002,W30_step1,10,sensors,low,train,13,5,8.0,0.4,13.0
FD002,W30_step1,10,sensors,low,train,14,5,7.0,0.35,14.0
FD002,W30_step1,10,sensors,low,train,15,5,6.0,0.3,15.0
FD002,W30_step1,10,sensors,low,train,16,5,5.0,0.25,16.0
FD002,W30_step1,10,sensors,low,train,17,5,4.0,0.2,17.0
FD002,W30_step1,10,sensors,low,train,18,5,3.0,0.15,18.0
FD002,W30_step1,10,sensors,low,train,19,5,2.0,0.1,19.0
FD002,W30_step1,10,sensors,low,train,2,5,20.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,20,5,1.0,0.05,20.0
FD002,W30_step1,10,sensors,low,train,3,5,18.0,0.9,3.0
FD002,W30_step1,10,sensors,low,train,4,5,17.0,0.85,4.0
FD002,W30_step1,10,sensors,low,train,5,5,16.0,0.8,5.0
FD002,W30_step1,10,sensors,low,train,6,5,15.0,0.75,6.0
FD002,W30_step1,10,sensors,low,train,7,5,14.0,0.7,7.0
FD002,W30_step1,10,sensors,low,train,8,5,13.0,0.65,8.0
FD002,W30_step1,10,sensors,low,train,9,5,12.0,0.6,9.0
FD002,W30_step1,10,windows,low,train,1,5,28.0,0.9655172413793103,2.0
FD002,W30_step1,10,windows,low,train,10,5,20.0,0.6896551724137931,10.0
FD002,W30_step1,10,windows,low,train,11,5,19.0,0.6551724137931034,11.0
FD002,W30_step1,10,windows,low,train,12,5,18.0,0.6206896551724138,12.0
FD002,W30_step1,10,windows,low,train,13,5,17.0,0.5862068965517241,13.0
FD002,W30_step1,10,windows,low,train,14,5,16.0,0.5517241379310345,14.0
FD002,W30_step1,10,windows,low,train,15,5,15.0,0.5172413793103449,15.0
FD002,W30_step1,10,windows,low,train,16,5,14.0,0.48275862068965514,16.0
FD002,W30_step1,10,windows,low,train,17,5,13.0,0.44827586206896547,17.0
FD002,W30_step1,10,windows,low,train,18,5,12.0,0.4137931034482759,18.0
FD002,W30_step1,10,windows,low,train,19,5,11.0,0.3793103448275862,19.0
FD002,W30_step1,10,windows,low,train,2,5,29.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,20,5,10.0,0.3448275862068966,20.0
FD002,W30_step1,10,windows,low,train,21,5,9.0,0.3103448275862069,21.0
FD002,W30_step1,10,windows,low,train,22,5,8.0,0.27586206896551724,22.0
FD002,W30_step1,10,windows,low,train,23,5,7.0,0.24137931034482757,23.0
FD002,W30_step1,10,windows,low,train,24,5,6.0,0.20689655172413796,24.0
FD002,W30_step1,10,windows,low,train,25,5,5.0,0.1724137931034483,25.0
FD002,W30_step1,10,windows,low,train,26,5,4.0,0.13793103448275862,26.0
FD002,W30_step1,10,windows,low,train,27,5,3.0,0.10344827586206898,27.0
FD002,W30_step1,10,windows,low,train,28,5,2.0,0.06896551724137931,28.0
FD002,W30_step1,10,windows,low,train,29,5,1.0,0.034482758620689655,29.0
FD002,W30_step1,10,windows,low,train,3,5,27.0,0.9310344827586207,3.0
FD002,W30_step1,10,windows,low,train,4,5,26.0,0.8965517241379309,4.0
FD002,W30_step1,10,windows,low,train,5,5,25.0,0.8620689655172413,5.0
FD002,W30_step1,10,windows,low,train,6,5,24.0,0.8275862068965518,6.0
FD002,W30_step1,10,windows,low,train,7,5,23.0,0.7931034482758621,7.0
FD002,W30_step1,10,windows,low,train,8,5,22.0,0.7586206896551724,8.0
FD002,W30_step1,10,windows,low,train,9,5,21.0,0.7241379310344828,9.0
FD002,W30_step1,10 10,sensors,low,train,1,5,19.0,0.95,2.0
FD002,W30_step1,10 10,sensors,low,train,10,5,11.0,0.55,10.0
FD002,W30_step1,10 10,sensors,low,train,11,5,10.0,0.5,11.0
FD002,W30_step1,10 10,sensors,low,train,12,5,9.0,0.45,12.0
FD002,W30_step1,10 10,sensors,low,train,13,5,8.0,0.4,13.0
FD002,W30_step1,10 10,sensors,low,train,14,5,7.0,0.35,14.0
FD002,W30_step1,10 10,sensors,low,train,15,5,6.0,0.3,15.0
FD002,W30_step1,10 10,sensors,low,train,16,5,5.0,0.25,16.0
FD002,W30_step1,10 10,sensors,low,train,17,5,4.0,0.2,17.0
FD002,W30_step1,10 10,sensors,low,train,18,5,3.0,0.15,18.0
FD002,W30_step1,10 10,sensors,low,train,19,5,2.0,0.1,19.0
FD002,W30_step1,10 10,sensors,low,train,2,5,20.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,20,5,1.0,0.05,20.0
FD002,W30_step1,10 10,sensors,low,train,3,5,18.0,0.9,3.0
FD002,W30_step1,10 10,sensors,low,train,4,5,17.0,0.85,4.0
FD002,W30_step1,10 10,sensors,low,train,5,5,16.0,0.8,5.0
FD002,W30_step1,10 10,sensors,low,train,6,5,15.0,0.75,6.0
FD002,W30_step1,10 10,sensors,low,train,7,5,14.0,0.7,7.0
FD002,W30_step1,10 10,sensors,low,train,8,5,13.0,0.65,8.0
FD002,W30_step1,10 10,sensors,low,train,9,5,12.0,0.6,9.0
FD002,W30_step1,10 10,windows,low,train,1,5,28.0,0.9655172413793103,2.0
FD002,W30_step1,10 10,windows,low,train,10,5,20.2,0.6965517241379311,9.8
FD002,W30_step1,10 10,windows,low,train,11,5,18.8,0.6482758620689655,11.2
FD002,W30_step1,10 10,windows,low,train,12,5,18.4,0.6344827586206896,11.6
FD002,W30_step1,10 10,windows,low,train,13,5,17.4,0.6,12.6
FD002,W30_step1,10 10,windows,low,train,14,5,16.0,0.5517241379310345,14.0
FD002,W30_step1,10 10,windows,low,train,15,5,15.0,0.5172413793103449,15.0
FD002,W30_step1,10 10,windows,low,train,16,5,14.0,0.48275862068965514,16.0
FD002,W30_step1,10 10,windows,low,train,17,5,13.0,0.44827586206896547,17.0
FD002,W30_step1,10 10,windows,low,train,18,5,12.0,0.4137931034482759,18.0
FD002,W30_step1,10 10,windows,low,train,19,5,11.0,0.3793103448275862,19.0
FD002,W30_step1,10 10,windows,low,train,2,5,29.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,20,5,10.0,0.3448275862068966,20.0
FD002,W30_step1,10 10,windows,low,train,21,5,9.0,0.3103448275862069,21.0
FD002,W30_step1,10 10,windows,low,train,22,5,8.0,0.27586206896551724,22.0
FD002,W30_step1,10 10,windows,low,train,23,5,7.0,0.24137931034482757,23.0
FD002,W30_step1,10 10,windows,low,train,24,5,6.0,0.20689655172413796,24.0
FD002,W30_step1,10 10,windows,low,train,25,5,5.0,0.1724137931034483,25.0
FD002,W30_step1,10 10,windows,low,train,26,5,4.0,0.13793103448275862,26.0
FD002,W30_step1,10 10,windows,low,train,27,5,3.0,0.10344827586206898,27.0
FD002,W30_step1,10 10,windows,low,train,28,5,2.0,0.06896551724137931,28.0
FD002,W30_step1,10 10,windows,low,train,29,5,1.0,0.034482758620689655,29.0
FD002,W30_step1,10 10,windows,low,train,3,5,27.0,0.9310344827586207,3.0
FD002,W30_step1,10 10,windows,low,train,4,5,26.0,0.8965517241379309,4.0
FD002,W30_step1,10 10,windows,low,train,5,5,25.0,0.8620689655172413,5.0
FD002,W30_step1,10 10,windows,low,train,6,5,24.0,0.8275862068965518,6.0
FD002,W30_step1,10 10,windows,low,train,7,5,23.0,0.7931034482758621,7.0
FD002,W30_step1,10 10,windows,low,train,8,5,21.0,0.7241379310344828,9.0
FD002,W30_step1,10 10,windows,low,train,9,5,21.2,0.7310344827586206,8.8
FD002,W30_step1,10 10 10,sensors,low,train,1,5,19.0,0.95,2.0
FD002,W30_step1,10 10 10,sensors,low,train,10,5,11.4,0.57,9.6
FD002,W30_step1,10 10 10,sensors,low,train,11,5,10.4,0.52,10.6
FD002,W30_step1,10 10 10,sensors,low,train,12,5,9.4,0.47000000000000003,11.6
FD002,W30_step1,10 10 10,sensors,low,train,13,5,8.4,0.42000000000000004,12.6
FD002,W30_step1,10 10 10,sensors,low,train,14,5,7.0,0.35,14.0
FD002,W30_step1,10 10 10,sensors,low,train,15,5,6.0,0.3,15.0
FD002,W30_step1,10 10 10,sensors,low,train,16,5,5.0,0.25,16.0
FD002,W30_step1,10 10 10,sensors,low,train,17,5,4.0,0.2,17.0
FD002,W30_step1,10 10 10,sensors,low,train,18,5,3.0,0.15,18.0
FD002,W30_step1,10 10 10,sensors,low,train,19,5,2.0,0.1,19.0
FD002,W30_step1,10 10 10,sensors,low,train,2,5,20.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,20,5,1.0,0.05,20.0
FD002,W30_step1,10 10 10,sensors,low,train,3,5,18.0,0.9,3.0
FD002,W30_step1,10 10 10,sensors,low,train,4,5,17.0,0.85,4.0
FD002,W30_step1,10 10 10,sensors,low,train,5,5,16.0,0.8,5.0
FD002,W30_step1,10 10 10,sensors,low,train,6,5,15.0,0.75,6.0
FD002,W30_step1,10 10 10,sensors,low,train,7,5,11.6,0.5800000000000001,9.4
FD002,W30_step1,10 10 10,sensors,low,train,8,5,13.4,0.6699999999999999,7.6
FD002,W30_step1,10 10 10,sensors,low,train,9,5,12.4,0.62,8.6
FD002,W30_step1,10 10 10,windows,low,train,1,5,28.0,0.9655172413793103,2.0
FD002,W30_step1,10 10 10,windows,low,train,10,5,20.2,0.6965517241379311,9.8
FD002,W30_step1,10 10 10,windows,low,train,11,5,19.2,0.6620689655172413,10.8
FD002,W30_step1,10 10 10,windows,low,train,12,5,18.2,0.6275862068965516,11.8
FD002,W30_step1,10 10 10,windows,low,train,13,5,17.2,0.5931034482758621,12.8
FD002,W30_step1,10 10 10,windows,low,train,14,5,16.2,0.5586206896551724,13.8
FD002,W30_step1,10 10 10,windows,low,train,15,5,15.0,0.5172413793103449,15.0
FD002,W30_step1,10 10 10,windows,low,train,16,5,14.0,0.48275862068965514,16.0
FD002,W30_step1,10 10 10,windows,low,train,17,5,13.0,0.44827586206896547,17.0
FD002,W30_step1,10 10 10,windows,low,train,18,5,12.0,0.4137931034482759,18.0
FD002,W30_step1,10 10 10,windows,low,train,19,5,11.0,0.3793103448275862,19.0
FD002,W30_step1,10 10 10,windows,low,train,2,5,29.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,20,5,10.0,0.3448275862068966,20.0
FD002,W30_step1,10 10 10,windows,low,train,21,5,9.0,0.3103448275862069,21.0
FD002,W30_step1,10 10 10,windows,low,train,22,5,8.0,0.27586206896551724,22.0
FD002,W30_step1,10 10 10,windows,low,train,23,5,7.0,0.24137931034482757,23.0
FD002,W30_step1,10 10 10,windows,low,train,24,5,6.0,0.20689655172413796,24.0
FD002,W30_step1,10 10 10,windows,low,train,25,5,5.0,0.1724137931034483,25.0
FD002,W30_step1,10 10 10,windows,low,train,26,5,4.0,0.13793103448275862,26.0
FD002,W30_step1,10 10 10,windows,low,train,27,5,3.0,0.10344827586206898,27.0
FD002,W30_step1,10 10 10,windows,low,train,28,5,2.0,0.06896551724137931,28.0
FD002,W30_step1,10 10 10,windows,low,train,29,5,1.0,0.034482758620689655,29.0
FD002,W30_step1,10 10 10,windows,low,train,3,5,27.0,0.9310344827586207,3.0
FD002,W30_step1,10 10 10,windows,low,train,4,5,26.0,0.8965517241379309,4.0
FD002,W30_step1,10 10 10,windows,low,train,5,5,25.0,0.8620689655172413,5.0
FD002,W30_step1,10 10 10,windows,low,train,6,5,24.0,0.8275862068965518,6.0
FD002,W30_step1,10 10 10,windows,low,train,7,5,21.6,0.7448275862068966,8.4
FD002,W30_step1,10 10 10,windows,low,train,8,5,22.2,0.7655172413793103,7.8
FD002,W30_step1,10 10 10,windows,low,train,9,5,21.2,0.7310344827586206,8.8
FD003,W30_step1,10,sensors,low,train,1,5,3.4,0.22666666666666666,12.6
FD003,W30_step1,10,sensors,low,train,10,5,10.2,0.68,5.8
FD003,W30_step1,10,sensors,low,train,11,5,4.0,0.26666666666666666,12.0
FD003,W30_step1,10,sensors,low,train,12,5,8.4,0.56,7.6
FD003,W30_step1,10,sensors,low,train,13,5,10.4,0.6933333333333334,5.6
FD003,W30_step1,10,sensors,low,train,14,5,7.8,0.5199999999999999,8.2
FD003,W30_step1,10,sensors,low,train,15,4,7.25,0.4833333333333333,8.75
FD003,W30_step1,10,sensors,low,train,16,5,10.8,0.72,5.2
FD003,W30_step1,10,sensors,low,train,2,5,6.4,0.42666666666666664,9.6
FD003,W30_step1,10,sensors,low,train,3,5,13.0,0.8666666666666666,3.0
FD003,W30_step1,10,sensors,low,train,4,2,1.0,0.06666666666666667,15.0
FD003,W30_step1,10,sensors,low,train,5,5,9.4,0.6266666666666667,6.6
FD003,W30_step1,10,sensors,low,train,6,4,1.75,0.11666666666666667,14.25
FD003,W30_step1,10,sensors,low,train,7,5,7.0,0.4666666666666667,9.0
FD003,W30_step1,10,sensors,low,train,8,5,12.0,0.8,4.0
FD003,W30_step1,10,sensors,low,train,9,5,9.6,0.64,6.4
FD003,W30_step1,10,windows,low,train,1,5,18.6,0.6413793103448276,11.4
FD003,W30_step1,10,windows,low,train,10,5,9.8,0.33793103448275863,20.2
FD003,W30_step1,10,windows,low,train,11,5,11.2,0.38620689655172413,18.8
FD003,W30_step1,10,windows,low,train,12,3,9.333333333333334,0.3218390804597701,20.666666666666668
FD003,W30_step1,10,windows,low,train,13,5,11.2,0.38620689655172413,18.8
FD003,W30_step1,10,windows,low,train,14,4,6.5,0.22413793103448276,23.5
FD003,W30_step1,10,windows,low,train,15,5,5.2,0.1793103448275862,24.8
FD003,W30_step1,10,windows,low,train,16,5,6.2,0.21379310344827585,23.8
FD003,W30_step1,10,windows,low,train,17,4,6.0,0.20689655172413793,24.0
FD003,W30_step1,10,windows,low,train,18,5,11.4,0.3931034482758621,18.6
FD003,W30_step1,10,windows,low,train,19,5,15.2,0.5241379310344827,14.8
FD003,W30_step1,10,windows,low,train,2,5,13.8,0.47586206896551725,16.2
FD003,W30_step1,10,windows,low,train,20,4,6.75,0.23275862068965517,23.25
FD003,W30_step1,10,windows,low,train,21,5,4.6,0.1586206896551724,25.4
FD003,W30_step1,10,windows,low,train,22,5,17.2,0.5931034482758621,12.8
FD003,W30_step1,10,windows,low,train,23,5,20.0,0.689655172413793,10.0
FD003,W30_step1,10,windows,low,train,24,5,18.4,0.6344827586206897,11.6
FD003,W30_step1,10,windows,low,train,25,5,13.0,0.44827586206896547,17.0
FD003,W30_step1,10,windows,low,train,26,5,26.2,0.903448275862069,3.8
FD003,W30_step1,10,windows,low,train,27,5,21.2,0.7310344827586206,8.8
FD003,W30_step1,10,windows,low,train,28,5,20.6,0.710344827586207,9.4
FD003,W30_step1,10,windows,low,train,29,5,28.2,0.9724137931034482,1.8
FD003,W30_step1,10,windows,low,train,3,5,14.4,0.49655172413793114,15.6
FD003,W30_step1,10,windows,low,train,30,5,22.8,0.7862068965517242,7.2
FD003,W30_step1,10,windows,low,train,4,5,18.0,0.6206896551724139,12.0
FD003,W30_step1,10,windows,low,train,5,5,16.0,0.5517241379310345,14.0
FD003,W30_step1,10,windows,low,train,6,5,22.8,0.7862068965517242,7.2
FD003,W30_step1,10,windows,low,train,7,5,16.8,0.5793103448275863,13.2
FD003,W30_step1,10,windows,low,train,8,5,19.0,0.6551724137931034,11.0
FD003,W30_step1,10,windows,low,train,9,5,12.2,0.4206896551724138,17.8
FD003,W30_step1,10 10,sensors,low,train,1,5,5.8,0.38666666666666666,10.2
FD003,W30_step1,10 10,sensors,low,train,10,5,9.6,0.64,6.4
FD003,W30_step1,10 10,sensors,low,train,11,5,4.4,0.29333333333333333,11.6
FD003,W30_step1,10 10,sensors,low,train,12,5,3.6,0.24,12.4
FD003,W30_step1,10 10,sensors,low,train,13,3,13.666666666666666,0.9111111111111111,2.3333333333333335
FD003,W30_step1,10 10,sensors,low,train,14,4,2.5,0.16666666666666666,13.5
FD003,W30_step1,10 10,sensors,low,train,15,5,5.8,0.38666666666666666,10.2
FD003,W30_step1,10 10,sensors,low,train,16,5,10.0,0.6666666666666667,6.0
FD003,W30_step1,10 10,sensors,low,train,2,5,10.6,0.7066666666666667,5.4
FD003,W30_step1,10 10,sensors,low,train,3,5,10.8,0.72,5.2
