dataset,window_tag,hidden_tag,group_mode,reference,comparator,n_groups,spearman,kendall,overlap_at_1,overlap_at_3,overlap_at_5,overlap_at_10,rank_mae,rank_mae_norm,rank_rmse,reference_file,comparator_file
FD001,W30_step1,h10,windows,fulltrust_agg_selection,weights,30,0.8958843159065628,0.7471264367816092,1.0,1.0,0.8,0.9,3.0,0.10344827586206896,3.9496835316262997,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_windows_weights.json
FD001,W30_step1,h10_10,sensors,fulltrust_agg_selection,randomavg,15,-0.30357142857142855,-0.23809523809523808,0.0,0.0,0.2,0.6,5.733333333333333,0.4095238095238095,6.97614984548545,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_sensors_randomavg.json
FD001,W30_step1,h10_10,sensors,fulltrust_agg_selection,timetrust_selection,15,0.6178571428571428,0.44761904761904764,0.0,0.3333333333333333,0.6,0.9,3.066666666666667,0.21904761904761907,3.777124126457412,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_sensors_timetrust_selection.json
FD001,W30_step1,h10_10,sensors,fulltrust_agg_selection,weights,15,0.6142857142857142,0.4857142857142857,1.0,0.3333333333333333,0.6,0.8,2.8,0.19999999999999998,3.794733192202055,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_sensors_weights.json
FD001,W30_step1,h10_10,windows,fulltrust_agg_selection,randomavg,30,-0.01668520578420467,-0.016091954022988506,0.0,0.0,0.0,0.3,11.0,0.3793103448275862,12.342339054382412,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_windows_randomavg.json
FD001,W30_step1,h10_10,windows,fulltrust_agg_selection,timetrust_selection,30,0.31078976640711903,0.25057471264367814,0.0,0.3333333333333333,0.4,0.5,7.2,0.2482758620689655,10.16202079640987,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_windows_timetrust_selection.json
FD001,W30_step1,h10_10,windows,fulltrust_agg_selection,weights,30,0.8349276974416019,0.7011494252873564,1.0,0.6666666666666666,1.0,0.9,3.533333333333333,0.12183908045977011,4.973261840415537,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10/rankings/ranking_windows_weights.json
FD001,W30_step1,h10_10_10,sensors,fulltrust_agg_selection,randomavg,15,-0.10357142857142855,-0.12380952380952381,0.0,0.0,0.2,0.6,4.933333333333334,0.3523809523809524,6.418722614352485,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_sensors_randomavg.json
FD001,W30_step1,h10_10_10,sensors,fulltrust_agg_selection,timetrust_selection,15,0.4678571428571427,0.37142857142857144,0.0,0.3333333333333333,0.2,0.8,3.7333333333333334,0.26666666666666666,4.457203906785808,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_sensors_timetrust_selection.json
FD001,W30_step1,h10_10_10,sensors,fulltrust_agg_selection,weights,15,0.7749999999999999,0.6,1.0,0.6666666666666666,0.8,0.8,2.2666666666666666,0.1619047619047619,2.898275349237888,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_sensors_weights.json
FD001,W30_step1,h10_10_10,windows,fulltrust_agg_selection,randomavg,30,-0.20311457174638486,-0.11264367816091954,0.0,0.0,0.0,0.2,11.333333333333334,0.39080459770114945,13.426342266852378,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_windows_randomavg.json
FD001,W30_step1,h10_10_10,windows,fulltrust_agg_selection,timetrust_selection,30,0.05850945494994438,0.06206896551724138,0.0,0.3333333333333333,0.4,0.6,8.866666666666667,0.30574712643678165,11.877148928369412,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json
