dataset,window_tag,hidden_tag,group_mode,method,random_trial,n_groups,n_points,retention_auc,retention_auc_20_80,retention_auc_20_80_raw,retention_at_20,retention_at_80,mae_auc,mae_auc_20_80,mae_auc_20_80_raw,mae_at_20,mae_at_80,rmse_auc,rmse_auc_20_80,rmse_auc_20_80_raw,rmse_at_20,rmse_at_80,partial_auc_lo,partial_auc_hi,mae_full,rmse_full,mae_empty,rmse_empty,mask_value,ranking_file,ablation_ranking_split
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,30,5,6,0.8491354412712697,1.023653349644344,0.6141920097866065,0.33345277285971925,1.015981541986913,11.146782207489013,10.460274855295816,6.276164913177491,13.175341606140137,10.490453720092773,14.101453971862792,13.294031461079914,7.97641887664795,16.916330337524414,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,31,5,6,0.8005527755022581,0.8747270083558374,0.5248362050135025,0.6155450139533327,1.1416206909342248,11.33789358139038,11.046111742655436,6.627667045593262,12.065665245056152,9.996222496032715,14.20746936798096,13.818397839864096,8.291038703918458,15.606162071228027,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,32,5,6,0.8002958431408298,0.8837954422749497,0.5302772653649699,0.5585650868243737,1.1416206909342248,11.338904285430909,11.010438919067381,6.60626335144043,12.289809226989746,9.996222496032715,14.240553665161134,13.845122973124186,8.307073783874513,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,33,5,6,0.8789547231261672,1.0053969210623521,0.6032381526374114,0.6155450139533327,1.1416206909342248,11.029481029510498,10.532090822855631,6.319254493713379,12.065665245056152,9.996222496032715,13.80243091583252,13.143333752950033,7.886000251770021,15.606162071228027,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,34,5,6,0.8002958431408298,0.8837954422749497,0.5302772653649699,0.5585650868243737,1.1416206909342248,11.338904285430909,11.010438919067381,6.60626335144043,12.289809226989746,9.996222496032715,14.240553665161134,13.845122973124186,8.307073783874513,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,35,5,6,0.6479740817843973,0.6734535874405216,0.40407215246431305,0.5585650868243737,0.8804542063764706,11.938097858428955,11.837868213653563,7.102720928192139,12.289809226989746,11.023582458496094,14.882594680786132,14.720204353332518,8.832122611999512,15.776654243469238,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,36,5,6,0.7011573350698126,0.7525956883947206,0.4515574130368324,0.6155450139533327,0.8804542063764706,11.728888988494871,11.526544094085692,6.915926456451416,12.065665245056152,11.023582458496094,14.803383636474608,14.616601308186848,8.76996078491211,15.606162071228027,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,37,5,6,0.6865539862214627,0.7317443997367805,0.4390466398420684,0.33345277285971925,1.1416206909342248,11.786334705352782,11.608567555745443,6.965140533447267,13.175341606140137,9.996222496032715,14.844327163696288,14.661466121673582,8.79687967300415,16.916330337524414,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,38,5,6,0.6479740817843973,0.6734535874405216,0.40407215246431305,0.5585650868243737,0.8804542063764706,11.938097858428955,11.837868213653563,7.102720928192139,12.289809226989746,11.023582458496094,14.882594680786132,14.720204353332518,8.832122611999512,15.776654243469238,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,39,5,6,0.6645785356503956,0.7254483285456508,0.43526899712739053,0.6155450139533327,0.6775503712767172,11.872780323028564,11.633334636688232,6.98000078201294,12.065665245056152,11.821752548217773,15.068376922607422,14.85780874888102,8.914685249328613,15.606162071228027,14.64034366607666,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,40,5,6,0.8702113618990981,1.0343523997768629,0.6206114398661179,0.6155450139533327,0.8804542063764706,11.063875102996825,10.418187618255613,6.2509125709533695,12.065665245056152,11.023582458496094,13.921864700317384,13.147403081258137,7.8884418487548835,15.606162071228027,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,41,5,6,0.6429790044222524,0.7041137461884204,0.4224682477130523,0.527557195815285,0.6775503712767172,11.957747173309327,11.717259248097738,7.030355548858644,12.411786079406738,11.821752548217773,15.163612937927246,14.916792392730711,8.950075435638428,16.204620361328125,14.64034366607666,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
